camp;id;FY;DMY;D-value;iNDF;NDF;WSC;Ncont;NU;OMD;valk;INDF;Nup
PG_TR_20170606;1;1022.222222;335.9556937;770.0;29.0;437.0;214.0;23.2;7.794172094;;;;
PG_TR_20170606;2;3040.0;974.725764;765.0;27.0;439.0;181.0;30.24;29.4757071;;;;
PG_TR_20170606;3;3743.589744;1014.305955;758.0;31.0;445.0;162.0;32.0;32.45779058;;;;
PG_TR_20170606;4;4160.0;1178.858954;770.0;31.0;451.0;137.0;36.0;42.43892235;;;;
PG_TR_20170606;5;4183.006536;1205.308328;758.0;32.0;452.0;122.0;38.24;46.09099048;;;;
PG_TR_20170606;6;5975.308642;1499.199566;770.0;30.0;457.0;106.0;40.8;61.16734229;;;;
PG_TR_20170606;7;4395.061728;1153.391168;762.0;30.0;448.0;146.0;34.88;40.23028395;;;;
PG_TR_20170606;8;4244.897959;1265.096808;760.0;30.0;446.0;168.0;31.2;39.47102041;;;;
PG_TR_20170606;9;1254.901961;492.7289724;760.0;30.0;436.0;225.0;22.88;11.27363889;;;;
PG_TR_20170606;10;5659.863946;1388.438902;750.0;43.0;453.0;114.0;39.04;54.20465472;;;;
PG_TR_20170606;11;3156.462585;998.6389162;750.0;43.0;437.0;169.0;28.64;28.60101856;;;;
PG_TR_20170606;12;5333.333333;1477.562837;741.0;49.0;460.0;128.0;34.4;50.8281616;;;;
PG_TR_20170606;13;4952.380952;1182.235863;737.0;51.0;464.0;104.0;39.36;46.53280357;;;;
PG_TR_20170606;14;3146.666667;940.3344551;745.0;42.0;437.0;167.0;28.96;27.23208582;;;;
PG_TR_20170606;15;4717.948718;1342.860311;734.0;52.0;449.0;115.0;37.12;49.84697473;;;;
PG_TR_20170606;16;4320.0;1167.202304;742.0;44.0;454.0;129.0;34.88;40.71201637;;;;
PG_TR_20170606;17;4256.410256;1194.984294;739.0;47.0;446.0;131.0;32.48;38.81308988;;;;
PG_TR_20170606;18;1600.0;584.5209531;741.0;47.0;437.0;211.0;23.2;13.56088611;;;;
PG_TR_20170606;19;2760.233918;811.4801685;755.0;36.0;436.0;192.0;27.2;22.07226058;;;;
PG_TR_20170606;20;5384.615385;1703.470672;745.0;42.0;453.0;124.0;36.64;62.41516542;;;;
PG_TR_20170606;21;4000.0;1141.34874;770.0;28.0;437.0;168.0;31.04;35.42746489;;;;
PG_TR_20170606;22;1388.888889;538.7262688;752.0;37.0;435.0;219.0;22.56;12.15366462;;;;
PG_TR_20170606;23;5886.792453;1582.857979;753.0;35.0;448.0;116.0;38.56;61.03500366;;;;
PG_TR_20170606;24;5523.809524;1538.397288;767.0;36.0;458.0;129.0;35.2;54.15158455;;;;
PG_TR_20170615;25;3508.77193;979.8706375;742.0;36.0;528.0;202.0;16.48;16.14826811;;;;
PG_TR_20170615;26;9756.097561;2291.455622;742.0;26.0;556.0;143.0;20.32;46.56237824;;;;
PG_TR_20170615;27;10666.66667;2293.227092;733.0;26.0;567.0;134.0;21.6;49.53370518;;;;
PG_TR_20170615;28;12777.77778;2640.263751;724.0;28.0;564.0;106.0;25.6;67.59075204;;;;
PG_TR_20170615;29;13846.15385;2748.640152;726.0;32.0;561.0;94.0;27.52;75.64257697;;;;
PG_TR_20170615;30;16100.62893;3002.029617;723.0;32.0;565.0;90.0;28.32;85.01747876;;;;
PG_TR_20170615;31;10739.39394;2359.444848;731.0;28.0;572.0;109.0;23.52;55.49414284;;;;
PG_TR_20170615;32;10196.07843;2209.48918;738.0;25.0;577.0;109.0;21.76;48.07848455;;;;
PG_TR_20170615;33;2133.333333;625.0469776;764.0;11.0;529.0;209.0;16.48;10.30077419;;;;
PG_TR_20170615;34;14933.33333;2910.955061;730.0;28.0;578.0;80.0;27.04;78.71222485;;;;
PG_TR_20170615;35;8435.37415;1981.251766;743.0;28.0;561.0;135.0;19.36;38.35703419;;;;
PG_TR_20170615;36;13827.16049;2640.723582;723.0;37.0;586.0;89.0;24.8;65.48994483;;;;
PG_TR_20170615;37;12631.57895;2499.973742;722.0;33.0;563.0;94.0;27.2;67.99928578;;;;
PG_TR_20170615;38;8163.265306;2021.802194;728.0;38.0;572.0;154.0;17.76;35.90720697;;;;
PG_TR_20170615;39;13333.33333;2721.169824;728.0;32.0;565.0;102.0;25.76;70.09733466;;;;
PG_TR_20170615;40;11944.44444;2480.787545;721.0;35.0;572.0;105.0;24.0;59.53890107;;;;
PG_TR_20170615;41;10817.61006;2363.870138;731.0;29.0;573.0;126.0;21.44;50.68137575;;;;
PG_TR_20170615;42;3742.690058;1101.974958;758.0;24.0;542.0;196.0;16.48;18.16054731;;;;
PG_TR_20170615;43;7380.952381;1742.161439;741.0;28.0;568.0;141.0;18.88;32.89200798;;;;
PG_TR_20170615;44;15128.20513;3308.941312;730.0;28.0;575.0;98.0;24.0;79.41459149;;;;
PG_TR_20170615;45;11631.20567;2571.934019;729.0;31.0;585.0;117.0;20.32;52.26169926;;;;
PG_TR_20170615;46;2281.368821;715.3357924;763.0;22.0;537.0;200.0;16.64;11.90318759;;;;
PG_TR_20170615;47;17142.85714;3328.502174;719.0;40.0;586.0;89.0;25.44;84.67709531;;;;
PG_TR_20170615;48;13099.4152;2657.596157;725.0;35.0;591.0;90.0;23.52;62.50666162;;;;
PG_TR_20170619;49;1904.761905;563.5589818;722.0;50.0;527.0;177.0;16.8;9.467790894;;;;
PG_TR_20170619;50;8969.69697;2188.013108;724.0;58.0;544.0;160.0;16.48;36.05845602;;;;
PG_TR_20170619;51;12030.07519;2770.511812;706.0;67.0;567.0;127.0;17.12;47.43116221;;;;
PG_TR_20170619;52;15140.41514;3114.671334;701.0;67.0;572.0;105.0;20.0;62.29342667;;;;
PG_TR_20170619;53;16484.84848;3717.114508;692.0;71.0;567.0;76.0;22.88;85.04757994;;;;
PG_TR_20170619;54;18765.4321;3864.933366;693.0;77.0;565.0;76.0;25.92;100.1790728;;;;
PG_TR_20170619;55;15128.20513;3607.738863;683.0;86.0;578.0;80.0;20.96;75.61820656;;;;
PG_TR_20170619;56;14693.87755;3433.075749;693.0;74.0;573.0;118.0;17.92;61.52071743;;;;
PG_TR_20170619;57;2564.102564;710.2426406;720.0;62.0;534.0;173.0;14.88;10.56841049;;;;
PG_TR_20170619;58;17127.79974;3994.812494;689.0;82.0;586.0;102.0;19.52;77.97873989;;;;
PG_TR_20170619;59;9867.629362;2509.03059;702.0;79.0;567.0;147.0;15.36;38.53870986;;;;
PG_TR_20170619;60;18095.2381;3881.814091;699.0;78.0;564.0;115.0;20.32;78.87846234;;;;
PG_TR_20170619;61;21138.21138;4348.94468;663.0;104.0;601.0;78.0;21.76;94.63303623;;;;
PG_TR_20170619;62;9669.211196;2557.092396;700.0;80.0;567.0;138.0;15.68;40.09520877;;;;
PG_TR_20170619;63;16800.0;3801.889314;696.0;76.0;553.0;109.0;19.36;73.60457712;;;;
PG_TR_20170619;64;14339.62264;3384.865862;678.0;87.0;583.0;84.0;20.16;68.23889578;;;;
PG_TR_20170619;65;12380.95238;2883.074493;701.0;72.0;564.0;100.0;18.72;53.9711545;;;;
PG_TR_20170619;66;3508.77193;1007.948653;704.0;67.0;535.0;177.0;15.04;15.15954775;;;;
PG_TR_20170619;67;8717.948718;2218.821214;694.0;79.0;548.0;163.0;15.68;34.79111663;;;;
PG_TR_20170619;68;17179.48718;3627.210423;671.0;94.0;584.0;98.0;20.48;74.28526946;;;;
PG_TR_20170619;69;12568.30601;3054.216709;677.0;88.0;586.0;107.0;17.28;52.77686472;;;;
PG_TR_20170619;70;1715.686275;530.7554255;701.0;70.0;522.0;203.0;14.4;7.642878127;;;;
PG_TR_20170619;71;17874.39614;3943.699912;672.0;92.0;587.0;92.0;20.64;81.39796617;;;;
PG_TR_20170619;72;17929.29293;4031.448053;652.0;101.0;614.0;80.0;19.36;78.04883431;;;;
PG_TR_20170628;73;3018.867925;929.5982065;695.0;81.0;549.0;202.0;12.64;11.75012133;;;;
PG_TR_20170628;74;13227.51323;3632.425912;674.0;92.0;553.0;194.0;12.48;45.33267538;;;;
PG_TR_20170628;75;15846.99454;4244.884699;669.0;96.0;567.0;166.0;13.6;57.73043191;;;;
PG_TR_20170628;76;20392.15686;4985.707207;659.0;95.0;587.0;119.0;16.16;80.56902846;;;;
PG_TR_20170628;77;23589.74359;5424.466597;643.0;111.0;597.0;99.0;18.08;98.07435607;;;;
PG_TR_20170628;78;25421.24542;5291.112531;642.0;111.0;599.0;116.0;16.64;88.04411252;;;;
PG_TR_20170628;79;20312.5;5487.444899;632.0;128.0;595.0;136.0;16.0;87.79911839;;;;
PG_TR_20170628;80;17333.33333;4837.446641;643.0;120.0;594.0;152.0;13.28;64.2412914;;;;
PG_TR_20170628;81;3905.160391;1244.788112;673.0;93.0;548.0;206.0;12.16;15.13662344;;;;
PG_TR_20170628;82;24021.59244;6135.100663;633.0;124.0;594.0;130.0;16.8;103.0696911;;;;
PG_TR_20170628;83;12737.12737;3705.516594;661.0;100.0;572.0;186.0;12.32;45.65196444;;;;
PG_TR_20170628;84;22053.23194;5521.897364;650.0;112.0;584.0;127.0;16.96;93.6513793;;;;
PG_TR_20170628;85;23950.61728;5743.986147;644.0;112.0;586.0;107.0;18.4;105.6893451;;;;
PG_TR_20170628;86;12947.6584;3715.199756;670.0;99.0;565.0;199.0;11.84;43.98796511;;;;
PG_TR_20170628;87;23177.08333;5477.129209;640.0;116.0;591.0;126.0;16.96;92.89211139;;;;
PG_TR_20170628;88;20833.33333;5380.621632;660.0;103.0;569.0;137.0;16.32;87.81174503;;;;
PG_TR_20170628;89;16993.46405;4388.905497;675.0;91.0;558.0;157.0;15.04;66.00913867;;;;
PG_TR_20170628;90;4606.060606;1411.997233;683.0;83.0;543.0;222.0;12.16;17.16988635;;;;
PG_TR_20170628;91;12345.67901;4578.679257;685.0;87.0;542.0;211.0;12.8;58.60709449;;;;
PG_TR_20170628;92;23466.66667;5443.640915;645.0;111.0;592.0;141.0;15.04;81.87235937;;;;
PG_TR_20170628;93;19047.61905;5292.266324;664.0;100.0;577.0;158.0;13.92;73.66834724;;;;
PG_TR_20170628;94;2614.379085;856.1262139;689.0;83.0;515.0;246.0;12.16;10.41049476;;;;
PG_TR_20170628;95;25459.31759;5224.141858;652.0;112.0;578.0;109.0;19.52;101.9752491;;;;
PG_TR_20170628;96;20194.6472;5042.757995;649.0;116.0;593.0;105.0;16.96;85.5251756;;;;
PG_TE_20170615;10001;11366.90647;2246.779123;718.0;41.0;579.0;80.0;27.84;62.55033078;;;;
