image,D-value
rgb_n_0001_id_1.tif,770.0
rgb_n_0002_id_1.tif,770.0
rgb_n_0002_id_2.tif,765.0
rgb_n_0001_id_2.tif,765.0
rgb_n_0001_id_3.tif,758.0
rgb_n_0002_id_3.tif,758.0
rgb_n_0002_id_4.tif,770.0
rgb_n_0001_id_4.tif,770.0
rgb_n_0002_id_5.tif,758.0
rgb_n_0001_id_5.tif,758.0
rgb_n_0001_id_6.tif,770.0
rgb_n_0002_id_6.tif,770.0
rgb_n_0002_id_7.tif,762.0
rgb_n_0001_id_7.tif,762.0
rgb_n_0001_id_8.tif,760.0
rgb_n_0002_id_8.tif,760.0
rgb_n_0002_id_9.tif,760.0
rgb_n_0001_id_9.tif,760.0
rgb_n_0002_id_10.tif,750.0
rgb_n_0001_id_10.tif,750.0
rgb_n_0002_id_11.tif,750.0
rgb_n_0001_id_11.tif,750.0
rgb_n_0001_id_12.tif,741.0
rgb_n_0002_id_12.tif,741.0
rgb_n_0002_id_13.tif,737.0
rgb_n_0001_id_13.tif,737.0
rgb_n_0001_id_14.tif,745.0
rgb_n_0002_id_14.tif,745.0
rgb_n_0001_id_15.tif,734.0
rgb_n_0002_id_15.tif,734.0
rgb_n_0002_id_16.tif,742.0
rgb_n_0001_id_16.tif,742.0
rgb_n_0002_id_17.tif,739.0
rgb_n_0001_id_17.tif,739.0
rgb_n_0002_id_18.tif,741.0
rgb_n_0001_id_18.tif,741.0
rgb_n_0001_id_19.tif,755.0
rgb_n_0002_id_19.tif,755.0
rgb_n_0001_id_20.tif,745.0
rgb_n_0002_id_20.tif,745.0
rgb_n_0001_id_21.tif,770.0
rgb_n_0002_id_21.tif,770.0
rgb_n_0002_id_22.tif,752.0
rgb_n_0001_id_22.tif,752.0
rgb_n_0002_id_23.tif,753.0
rgb_n_0001_id_23.tif,753.0
rgb_n_0001_id_24.tif,767.0
rgb_n_0002_id_24.tif,767.0
rgb_n_0002_id_25.tif,742.0
rgb_n_0001_id_25.tif,742.0
rgb_n_0002_id_26.tif,742.0
rgb_n_0001_id_26.tif,742.0
rgb_n_0001_id_27.tif,733.0
rgb_n_0002_id_27.tif,733.0
rgb_n_0002_id_28.tif,724.0
rgb_n_0001_id_28.tif,724.0
rgb_n_0001_id_29.tif,726.0
rgb_n_0002_id_29.tif,726.0
rgb_n_0002_id_30.tif,723.0
rgb_n_0001_id_30.tif,723.0
rgb_n_0001_id_31.tif,731.0
rgb_n_0002_id_31.tif,731.0
rgb_n_0001_id_32.tif,738.0
rgb_n_0002_id_32.tif,738.0
rgb_n_0001_id_33.tif,764.0
rgb_n_0002_id_33.tif,764.0
rgb_n_0001_id_34.tif,730.0
rgb_n_0002_id_34.tif,730.0
rgb_n_0002_id_35.tif,743.0
rgb_n_0001_id_35.tif,743.0
rgb_n_0001_id_36.tif,723.0
rgb_n_0002_id_36.tif,723.0
rgb_n_0002_id_37.tif,722.0
rgb_n_0001_id_37.tif,722.0
rgb_n_0001_id_38.tif,728.0
rgb_n_0002_id_38.tif,728.0
rgb_n_0002_id_39.tif,728.0
rgb_n_0001_id_39.tif,728.0
rgb_n_0001_id_40.tif,721.0
rgb_n_0002_id_40.tif,721.0
rgb_n_0002_id_41.tif,731.0
rgb_n_0001_id_41.tif,731.0
rgb_n_0001_id_42.tif,758.0
rgb_n_0002_id_42.tif,758.0
rgb_n_0001_id_43.tif,741.0
rgb_n_0002_id_43.tif,741.0
rgb_n_0002_id_44.tif,730.0
rgb_n_0001_id_44.tif,730.0
rgb_n_0002_id_45.tif,729.0
rgb_n_0001_id_45.tif,729.0
rgb_n_0002_id_46.tif,763.0
rgb_n_0001_id_46.tif,763.0
rgb_n_0002_id_47.tif,719.0
rgb_n_0001_id_47.tif,719.0
rgb_n_0001_id_48.tif,725.0
rgb_n_0002_id_48.tif,725.0
rgb_n_0001_id_49.tif,722.0
rgb_n_0002_id_49.tif,722.0
rgb_n_0001_id_50.tif,724.0
rgb_n_0002_id_50.tif,724.0
rgb_n_0002_id_51.tif,706.0
rgb_n_0001_id_51.tif,706.0
rgb_n_0001_id_52.tif,701.0
rgb_n_0002_id_52.tif,701.0
rgb_n_0001_id_53.tif,692.0
rgb_n_0002_id_53.tif,692.0
rgb_n_0001_id_54.tif,693.0
rgb_n_0002_id_54.tif,693.0
rgb_n_0002_id_55.tif,683.0
rgb_n_0001_id_55.tif,683.0
rgb_n_0001_id_56.tif,693.0
rgb_n_0002_id_56.tif,693.0
rgb_n_0002_id_57.tif,720.0
rgb_n_0001_id_57.tif,720.0
rgb_n_0002_id_58.tif,689.0
rgb_n_0001_id_58.tif,689.0
rgb_n_0002_id_59.tif,702.0
rgb_n_0001_id_59.tif,702.0
rgb_n_0001_id_60.tif,699.0
rgb_n_0002_id_60.tif,699.0
rgb_n_0002_id_61.tif,663.0
rgb_n_0001_id_61.tif,663.0
rgb_n_0001_id_62.tif,700.0
rgb_n_0002_id_62.tif,700.0
rgb_n_0001_id_63.tif,696.0
rgb_n_0002_id_63.tif,696.0
rgb_n_0001_id_64.tif,678.0
rgb_n_0002_id_64.tif,678.0
rgb_n_0002_id_65.tif,701.0
rgb_n_0001_id_65.tif,701.0
rgb_n_0001_id_66.tif,704.0
rgb_n_0002_id_66.tif,704.0
rgb_n_0002_id_67.tif,694.0
rgb_n_0001_id_67.tif,694.0
rgb_n_0002_id_68.tif,671.0
rgb_n_0001_id_68.tif,671.0
rgb_n_0002_id_69.tif,677.0
rgb_n_0001_id_69.tif,677.0
rgb_n_0002_id_70.tif,701.0
rgb_n_0001_id_70.tif,701.0
rgb_n_0002_id_71.tif,672.0
rgb_n_0001_id_71.tif,672.0
rgb_n_0001_id_72.tif,652.0
rgb_n_0002_id_72.tif,652.0
rgb_n_0001_id_73.tif,695.0
rgb_n_0002_id_73.tif,695.0
rgb_n_0002_id_74.tif,674.0
rgb_n_0001_id_74.tif,674.0
rgb_n_0002_id_75.tif,669.0
rgb_n_0001_id_75.tif,669.0
rgb_n_0001_id_76.tif,659.0
rgb_n_0002_id_76.tif,659.0
rgb_n_0001_id_77.tif,643.0
rgb_n_0002_id_77.tif,643.0
rgb_n_0001_id_78.tif,642.0
rgb_n_0002_id_78.tif,642.0
rgb_n_0001_id_79.tif,632.0
rgb_n_0002_id_79.tif,632.0
rgb_n_0001_id_80.tif,643.0
rgb_n_0002_id_80.tif,643.0
rgb_n_0001_id_81.tif,673.0
rgb_n_0002_id_81.tif,673.0
rgb_n_0002_id_82.tif,633.0
rgb_n_0001_id_82.tif,633.0
rgb_n_0002_id_83.tif,661.0
rgb_n_0001_id_83.tif,661.0
rgb_n_0001_id_84.tif,650.0
rgb_n_0002_id_84.tif,650.0
rgb_n_0001_id_85.tif,644.0
rgb_n_0002_id_85.tif,644.0
rgb_n_0002_id_86.tif,670.0
rgb_n_0001_id_86.tif,670.0
rgb_n_0001_id_87.tif,640.0
rgb_n_0002_id_87.tif,640.0
rgb_n_0002_id_88.tif,660.0
rgb_n_0001_id_88.tif,660.0
rgb_n_0001_id_89.tif,675.0
rgb_n_0002_id_89.tif,675.0
rgb_n_0001_id_90.tif,683.0
rgb_n_0002_id_90.tif,683.0
rgb_n_0001_id_91.tif,685.0
rgb_n_0002_id_91.tif,685.0
rgb_n_0001_id_92.tif,645.0
rgb_n_0002_id_92.tif,645.0
rgb_n_0002_id_93.tif,664.0
rgb_n_0001_id_93.tif,664.0
rgb_n_0002_id_94.tif,689.0
rgb_n_0001_id_94.tif,689.0
rgb_n_0001_id_95.tif,652.0
rgb_n_0002_id_95.tif,652.0
rgb_n_0001_id_96.tif,649.0
rgb_n_0002_id_96.tif,649.0
rgb_n_0006_id_10001.tif,718.0
rgb_n_0004_id_10001.tif,718.0
rgb_n_0005_id_10001.tif,718.0
rgb_n_0002_id_10001.tif,718.0
rgb_n_0013_id_10001.tif,718.0
rgb_n_0010_id_10001.tif,718.0
rgb_n_0009_id_10001.tif,718.0
rgb_n_0003_id_10001.tif,718.0
rgb_n_0011_id_10001.tif,718.0
rgb_n_0012_id_10001.tif,718.0
rgb_n_0001_id_10001.tif,718.0
rgb_n_0008_id_10001.tif,718.0
rgb_n_0007_id_10001.tif,718.0
rgb_n_0022_id_10002.tif,741.0
rgb_n_0019_id_10002.tif,741.0
rgb_n_0025_id_10002.tif,741.0
rgb_n_0016_id_10002.tif,741.0
rgb_n_0014_id_10002.tif,741.0
rgb_n_0021_id_10002.tif,741.0
rgb_n_0017_id_10002.tif,741.0
rgb_n_0018_id_10002.tif,741.0
rgb_n_0015_id_10002.tif,741.0
rgb_n_0026_id_10002.tif,741.0
rgb_n_0023_id_10002.tif,741.0
rgb_n_0020_id_10002.tif,741.0
rgb_n_0024_id_10002.tif,741.0
rgb_n_0038_id_10003.tif,724.0
rgb_n_0030_id_10003.tif,724.0
rgb_n_0033_id_10003.tif,724.0
rgb_n_0036_id_10003.tif,724.0
rgb_n_0039_id_10003.tif,724.0
rgb_n_0027_id_10003.tif,724.0
rgb_n_0035_id_10003.tif,724.0
rgb_n_0028_id_10003.tif,724.0
rgb_n_0037_id_10003.tif,724.0
rgb_n_0029_id_10003.tif,724.0
rgb_n_0034_id_10003.tif,724.0
rgb_n_0032_id_10003.tif,724.0
rgb_n_0031_id_10003.tif,724.0
rgb_n_0045_id_10004.tif,710.0
rgb_n_0052_id_10004.tif,710.0
rgb_n_0050_id_10004.tif,710.0
rgb_n_0048_id_10004.tif,710.0
rgb_n_0049_id_10004.tif,710.0
rgb_n_0051_id_10004.tif,710.0
rgb_n_0044_id_10004.tif,710.0
rgb_n_0041_id_10004.tif,710.0
rgb_n_0046_id_10004.tif,710.0
rgb_n_0040_id_10004.tif,710.0
rgb_n_0047_id_10004.tif,710.0
rgb_n_0042_id_10004.tif,710.0
rgb_n_0043_id_10004.tif,710.0
rgb_n_0058_id_10005.tif,715.0
rgb_n_0064_id_10005.tif,715.0
rgb_n_0063_id_10005.tif,715.0
rgb_n_0065_id_10005.tif,715.0
rgb_n_0059_id_10005.tif,715.0
rgb_n_0056_id_10005.tif,715.0
rgb_n_0055_id_10005.tif,715.0
rgb_n_0061_id_10005.tif,715.0
rgb_n_0062_id_10005.tif,715.0
rgb_n_0054_id_10005.tif,715.0
rgb_n_0060_id_10005.tif,715.0
rgb_n_0053_id_10005.tif,715.0
rgb_n_0057_id_10005.tif,715.0
rgb_n_0078_id_10006.tif,735.0
rgb_n_0067_id_10006.tif,735.0
rgb_n_0071_id_10006.tif,735.0
rgb_n_0074_id_10006.tif,735.0
rgb_n_0072_id_10006.tif,735.0
rgb_n_0073_id_10006.tif,735.0
rgb_n_0077_id_10006.tif,735.0
rgb_n_0068_id_10006.tif,735.0
rgb_n_0075_id_10006.tif,735.0
rgb_n_0076_id_10006.tif,735.0
rgb_n_0066_id_10006.tif,735.0
rgb_n_0070_id_10006.tif,735.0
rgb_n_0069_id_10006.tif,735.0
rgb_n_0083_id_10007.tif,715.0
rgb_n_0085_id_10007.tif,715.0
rgb_n_0079_id_10007.tif,715.0
rgb_n_0088_id_10007.tif,715.0
rgb_n_0080_id_10007.tif,715.0
rgb_n_0084_id_10007.tif,715.0
rgb_n_0087_id_10007.tif,715.0
rgb_n_0090_id_10007.tif,715.0
rgb_n_0081_id_10007.tif,715.0
rgb_n_0091_id_10007.tif,715.0
rgb_n_0082_id_10007.tif,715.0
rgb_n_0086_id_10007.tif,715.0
rgb_n_0089_id_10007.tif,715.0
rgb_n_0098_id_10008.tif,708.0
rgb_n_0100_id_10008.tif,708.0
rgb_n_0102_id_10008.tif,708.0
rgb_n_0099_id_10008.tif,708.0
rgb_n_0097_id_10008.tif,708.0
rgb_n_0095_id_10008.tif,708.0
rgb_n_0104_id_10008.tif,708.0
rgb_n_0092_id_10008.tif,708.0
rgb_n_0094_id_10008.tif,708.0
rgb_n_0103_id_10008.tif,708.0
rgb_n_0101_id_10008.tif,708.0
rgb_n_0093_id_10008.tif,708.0
rgb_n_0096_id_10008.tif,708.0
rgb_n_0003_id_20001.tif,746.0
rgb_n_0001_id_20001.tif,746.0
rgb_n_0004_id_20002.tif,727.0
rgb_n_0006_id_20002.tif,727.0
rgb_n_0007_id_20003.tif,705.0
rgb_n_0009_id_20003.tif,705.0
rgb_n_0010_id_20004.tif,702.0
rgb_n_0012_id_20004.tif,702.0
rgb_n_0015_id_20005.tif,670.0
rgb_n_0013_id_20005.tif,670.0
rgb_n_0018_id_20006.tif,694.0
rgb_n_0016_id_20006.tif,694.0
rgb_n_0019_id_20007.tif,690.0
rgb_n_0021_id_20007.tif,690.0
rgb_n_0024_id_20008.tif,678.0
rgb_n_0022_id_20008.tif,678.0
rgb_n_0027_id_20009.tif,702.0
