image,dmy
jokioinen_second_0173_id_40496.tif,2684
isokyrö_third_0349_id_110088.tif,5903
jokioinen_first_1286_id_80635.tif,4469
jokioinen_second_0468_id_40229.tif,2108
jokioinen_second_0092_id_40327.tif,2339
isokyrö_second_0917_id_100230.tif,6242
rgb_n_0105_id_20107.tif,5369
jokioinen_first_0301_id_80344.tif,4748
ylistaro_second_0073_id_70008.tif,3450
jokioinen_first_0207_id_80504.tif,3415
isokyrö_third_0085_id_110022.tif,6106
jokioinen_first_1045_id_80602.tif,4897
rgb_n_0093_id_20031.tif,2880
isokyrö_second_0393_id_100099.tif,6051
jokioinen_second_0460_id_40227.tif,2289
jokioinen_first_0519_id_80362.tif,4947
jokioinen_first_0550_id_80370.tif,3778
isokyrö_second_0409_id_100103.tif,5117
jokioinen_second_0784_id_40392.tif,1900
jokioinen_first_0807_id_80398.tif,3785
isokyrö_second_0115_id_100029.tif,5269
isokyrö_third_0462_id_110116.tif,6087
isokyrö_second_0561_id_100141.tif,6208
rgb_n_0002_id_10.tif,1388
isokyrö_third_0806_id_110202.tif,6369
isokyrö_second_0728_id_100182.tif,4480
ylistaro_second_0037_id_70103.tif,3050
rgb_n_0098_id_10008.tif,3822
jokioinen_first_1402_id_80304.tif,5396
rgb_n_0022_id_10002.tif,1255
jokioinen_first_0753_id_80385.tif,4374
isokyrö_third_0615_id_110154.tif,7184
isokyrö_third_0720_id_110180.tif,6847
rgb_n_0019_id_10002.tif,1255
isokyrö_second_0872_id_100218.tif,4960
jokioinen_first_0107_id_80331.tif,3173
jokioinen_first_0797_id_80396.tif,4792
jokioinen_second_0127_id_40336.tif,2202
jokioinen_second_1288_id_40636.tif,2091
jokioinen_first_0445_id_80536.tif,4242
jokioinen_first_1727_id_80691.tif,4947
isokyrö_third_0517_id_110130.tif,7650
isokyrö_second_0756_id_100189.tif,7200
jokioinen_first_0320_id_80348.tif,4934
jokioinen_second_1645_id_40466.tif,2234
jokioinen_second_1054_id_40604.tif,2109
jokioinen_second_0137_id_40339.tif,2588
jokioinen_first_0231_id_80210.tif,5014
ylistaro_second_0194_id_70128.tif,6450
jokioinen_second_0954_id_40271.tif,2309
isokyrö_second_0829_id_100208.tif,5421
jokioinen_second_1220_id_40429.tif,2071
jokioinen_second_1543_id_40672.tif,2241
jokioinen_first_1555_id_80675.tif,4912
jokioinen_second_1641_id_40465.tif,2521
isokyrö_third_0652_id_110163.tif,8000
isokyrö_third_0416_id_110104.tif,6453
jokioinen_second_0752_id_40384.tif,1797
isokyrö_second_0652_id_100163.tif,5785
jokioinen_first_1719_id_80689.tif,4686
jokioinen_first_1601_id_80315.tif,4813
isokyrö_third_0535_id_110134.tif,5693
isokyrö_third_0841_id_110211.tif,6789
isokyrö_second_0795_id_100199.tif,4983
jokioinen_second_0824_id_40574.tif,2020
jokioinen_first_1009_id_80413.tif,3948
jokioinen_second_0639_id_40556.tif,2450
isokyrö_third_0521_id_110131.tif,6245
jokioinen_second_0658_id_40561.tif,2190
isokyrö_third_0452_id_110113.tif,6038
isokyrö_second_0879_id_100220.tif,5128
jokioinen_first_1707_id_80686.tif,5611
jokioinen_second_1141_id_40278.tif,2267
jokioinen_second_1506_id_40663.tif,2362
rgb_n_0002_id_45.tif,2571
jokioinen_second_1711_id_40687.tif,2198
isokyrö_second_0908_id_100227.tif,6240
jokioinen_first_0475_id_80231.tif,4055
jokioinen_first_1544_id_80673.tif,4872
isokyrö_third_0811_id_110203.tif,6123
jokioinen_second_0863_id_40584.tif,2132
jokioinen_second_1110_id_40618.tif,2023
jokioinen_first_0805_id_80398.tif,3785
jokioinen_second_1434_id_40448.tif,2415
jokioinen_first_0181_id_80498.tif,3240
jokioinen_second_0831_id_40576.tif,1753
jokioinen_second_0532_id_40365.tif,1791
isokyrö_second_0671_id_100168.tif,4861
jokioinen_first_0810_id_80399.tif,4265
isokyrö_third_0029_id_110008.tif,6600
rgb_n_0045_id_10004.tif,2566
jokioinen_first_1236_id_80433.tif,4080
jokioinen_second_1578_id_40309.tif,2536
jokioinen_second_0317_id_40348.tif,2192
isokyrö_second_0575_id_100144.tif,5475
jokioinen_second_0486_id_40234.tif,1890
jokioinen_second_0577_id_40377.tif,2666
isokyrö_second_0808_id_100202.tif,6140
isokyrö_third_0157_id_110040.tif,6307
jokioinen_second_0947_id_40269.tif,2640
